CPU,PerfIndex
Intel(R) Core(TM) i7-8565U CPU @ 1.80GHz (8 cores),4.94
Intel(R) Xeon(R) Platinum 8268 CPU @ 2.90GHz (2 cores),4.87
Intel(R) Core(TM) i5-10210U CPU @ 1.60GHz (8 cores),4.7
Intel(R) Xeon(R) Platinum 8370C CPU @ 2.80GHz (2 cores),4.7
Intel(R) Xeon(R) Gold 6242 CPU @ 2.80GHz (2 cores),4.7
Intel(R) Xeon(R) Gold 6342 CPU @ 2.80GHz (2 cores),4.7
Intel(R) Core(TM) i5-8350U CPU @ 1.70GHz (8 cores),4.66
Intel(R) Core(TM) i5-8400T CPU @ 1.70GHz (6 cores),4.66
Intel(R) Xeon(R) Platinum 8280 CPU @ 2.70GHz (2 cores),4.54
Intel(R) Xeon(R) Gold 6258R CPU @ 2.70GHz (2 cores),4.54
Intel(R) Core(TM) i5-8365U CPU @ 1.60GHz (8 cores),4.39
Intel(R) Core(TM) i5-8265U CPU @ 1.60GHz (8 cores),4.39
Intel(R) Core(TM) i5-8250U CPU @ 1.60GHz (8 cores),4.39
Intel(R) Xeon(R) Platinum 8272CL CPU @ 2.60GHz (2 cores),4.37
Intel(R) Xeon(R) Gold 6458Q (2 cores),4.37
Intel(R) Xeon(R) Gold 6240 CPU @ 2.60GHz (2 cores),4.37
Intel(R) Xeon(R) Platinum 8488C (2 cores),4.37
Intel(R) Xeon(R) Platinum 8171M CPU @ 2.60GHz (2 cores),4.37
Intel(R) Xeon(R) Gold 6348 CPU @ 2.60GHz (2 cores),4.37
INTEL(R) XEON(R) GOLD 6526Y (2 cores),4.37
Intel(R) Xeon(R) Platinum 8358 CPU @ 2.60GHz (2 cores),4.37
Intel(R) Xeon(R) Gold 6132 CPU @ 2.60GHz (2 cores),4.37
Intel(R) Xeon(R) Platinum 8259CL CPU @ 2.50GHz (2 cores),4.2
Intel(R) Xeon(R) Platinum 8175M CPU @ 2.50GHz (2 cores),4.2
Intel(R) Xeon(R) Gold 6248 CPU @ 2.50GHz (2 cores),4.2
Intel(R) Xeon(R) CPU E5-2680 v4 @ 2.40GHz (2 cores),4.03
Intel(R) Xeon(R) Gold 6240R CPU @ 2.40GHz (2 cores),4.03
Intel(R) Xeon(R) Gold 6148 CPU @ 2.40GHz (2 cores),4.03
Intel(R) Xeon(R) Gold 6140 CPU @ 2.30GHz (2 cores),3.86
Intel(R) Xeon(R) CPU E5-2673 v4 @ 2.30GHz (2 cores),3.86
Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz (2 cores),3.86
11th Gen Intel(R) Core(TM) i5-1140G7 @ 1.10GHz (8 cores),3.54
Intel(R) Xeon(R) Gold 6238 CPU @ 2.10GHz (2 cores),3.53
Intel(R) Core(TM) i7-1065G7 CPU @ 1.30GHz (8 cores),3.46
Intel(R) Core(TM) i7-10810U CPU @ 1.10GHz (12 cores),3.23
Intel(R) Core(TM) i3-1005G1 CPU @ 1.20GHz (4 cores),3.19
Intel(R) Core(TM) i5-1035G1 CPU @ 1.00GHz (8 cores),2.66
Intel(R) Xeon(R) CPU E5-2686 v4 @ 2.30GHz (1 cores),2.42
